,gpu usage(%),mem usage(%),mem usage(MB)
0,0 %, 0 %, 10 MiB
1,0 %, 0 %, 10 MiB
2,0 %, 0 %, 10 MiB
3,0 %, 0 %, 10 MiB
66,0 %, 0 %, 10 MiB
67,0 %, 0 %, 10 MiB
68,0 %, 0 %, 10 MiB
69,0 %, 0 %, 10 MiB
70,0 %, 0 %, 145 MiB
71,1 %, 0 %, 241 MiB
72,0 %, 0 %, 241 MiB
73,0 %, 0 %, 241 MiB
74,0 %, 0 %, 241 MiB
75,0 %, 0 %, 2289 MiB
76,0 %, 0 %, 2289 MiB
77,0 %, 0 %, 10759 MiB
78,100 %, 62 %, 10759 MiB
79,100 %, 62 %, 10759 MiB
80,100 %, 66 %, 10759 MiB
81,100 %, 64 %, 10759 MiB
82,100 %, 65 %, 10759 MiB
83,100 %, 66 %, 10759 MiB
84,100 %, 61 %, 10759 MiB
85,98 %, 67 %, 10759 MiB
86,100 %, 54 %, 10759 MiB
87,100 %, 54 %, 10759 MiB
88,100 %, 58 %, 10759 MiB
89,0 %, 0 %, 10759 MiB
90,0 %, 0 %, 10759 MiB
91,0 %, 0 %, 10759 MiB
92,98 %, 63 %, 10759 MiB
93,100 %, 66 %, 10759 MiB
94,100 %, 65 %, 10759 MiB
95,98 %, 68 %, 10759 MiB
96,100 %, 50 %, 10759 MiB
97,100 %, 58 %, 10759 MiB
98,98 %, 60 %, 10759 MiB
99,100 %, 62 %, 10759 MiB
100,100 %, 52 %, 10759 MiB
101,100 %, 57 %, 10759 MiB
102,100 %, 55 %, 10759 MiB
103,96 %, 67 %, 10759 MiB
104,100 %, 52 %, 10759 MiB
105,100 %, 62 %, 10759 MiB
106,100 %, 53 %, 10759 MiB
107,100 %, 53 %, 10759 MiB
108,97 %, 67 %, 10759 MiB
109,100 %, 65 %, 10759 MiB
110,100 %, 55 %, 10759 MiB
111,100 %, 59 %, 10759 MiB
112,99 %, 68 %, 10759 MiB
113,100 %, 54 %, 10759 MiB
114,100 %, 53 %, 10759 MiB
115,100 %, 61 %, 10759 MiB
116,99 %, 69 %, 10759 MiB
117,100 %, 52 %, 10759 MiB
118,100 %, 61 %, 10759 MiB
119,99 %, 73 %, 10759 MiB
120,100 %, 55 %, 10759 MiB
121,100 %, 54 %, 10759 MiB
122,100 %, 58 %, 10759 MiB
123,98 %, 69 %, 10759 MiB
124,100 %, 54 %, 10759 MiB
125,100 %, 53 %, 10759 MiB
126,100 %, 60 %, 10759 MiB
127,99 %, 64 %, 10759 MiB
128,100 %, 54 %, 10759 MiB
129,100 %, 59 %, 10759 MiB
130,98 %, 68 %, 10759 MiB
131,100 %, 64 %, 10759 MiB
132,100 %, 55 %, 10759 MiB
133,100 %, 58 %, 10759 MiB
134,99 %, 70 %, 10759 MiB
135,100 %, 60 %, 10759 MiB
136,100 %, 51 %, 10759 MiB
137,100 %, 58 %, 10759 MiB
138,0 %, 0 %, 10759 MiB
139,0 %, 0 %, 10 MiB
140,0 %, 0 %, 10 MiB
141,0 %, 0 %, 10 MiB
142,0 %, 0 %, 10 MiB
143,0 %, 0 %, 10 MiB
4,0 %, 0 %, 10 MiB
5,0 %, 0 %, 145 MiB
6,0 %, 0 %, 241 MiB
7,0 %, 0 %, 241 MiB
8,0 %, 0 %, 241 MiB
9,0 %, 0 %, 241 MiB
10,0 %, 0 %, 1265 MiB
11,0 %, 0 %, 1265 MiB
12,0 %, 0 %, 1265 MiB
13,0 %, 0 %, 8469 MiB
14,0 %, 0 %, 8469 MiB
15,0 %, 0 %, 8469 MiB
16,93 %, 50 %, 8469 MiB
17,91 %, 55 %, 8469 MiB
18,98 %, 47 %, 8469 MiB
19,92 %, 52 %, 8469 MiB
20,97 %, 51 %, 8469 MiB
21,98 %, 48 %, 8469 MiB
22,91 %, 52 %, 8469 MiB
23,94 %, 47 %, 8469 MiB
24,0 %, 0 %, 8469 MiB
25,0 %, 0 %, 8469 MiB
26,0 %, 0 %, 8469 MiB
27,0 %, 0 %, 8469 MiB
28,0 %, 0 %, 8469 MiB
29,98 %, 49 %, 8469 MiB
30,94 %, 50 %, 8469 MiB
31,91 %, 52 %, 8469 MiB
32,97 %, 48 %, 8469 MiB
33,88 %, 50 %, 8469 MiB
34,92 %, 50 %, 8469 MiB
35,94 %, 50 %, 8469 MiB
36,90 %, 53 %, 8469 MiB
37,89 %, 51 %, 8469 MiB
38,93 %, 54 %, 8469 MiB
39,98 %, 47 %, 8469 MiB
40,90 %, 56 %, 8469 MiB
41,97 %, 47 %, 8469 MiB
42,90 %, 54 %, 8469 MiB
43,95 %, 48 %, 8469 MiB
44,93 %, 54 %, 8469 MiB
45,91 %, 51 %, 8469 MiB
46,93 %, 49 %, 8469 MiB
47,93 %, 47 %, 8469 MiB
48,91 %, 54 %, 8469 MiB
49,96 %, 50 %, 8469 MiB
50,92 %, 51 %, 8469 MiB
51,89 %, 54 %, 8469 MiB
52,87 %, 51 %, 8469 MiB
53,92 %, 50 %, 8469 MiB
54,98 %, 47 %, 8469 MiB
55,86 %, 52 %, 8469 MiB
56,92 %, 48 %, 8469 MiB
57,91 %, 48 %, 8469 MiB
58,93 %, 51 %, 8469 MiB
59,88 %, 53 %, 8469 MiB
60,90 %, 51 %, 8469 MiB
61,98 %, 45 %, 8469 MiB
62,92 %, 53 %, 8469 MiB
63,94 %, 45 %, 8469 MiB
64,0 %, 0 %, 8469 MiB
65,0 %, 0 %, 10 MiB
144,0 %, 0 %, 10 MiB
145,0 %, 0 %, 10 MiB
146,0 %, 0 %, 10 MiB
147,0 %, 0 %, 10 MiB
148,0 %, 0 %, 10 MiB
149,0 %, 0 %, 10 MiB
150,0 %, 0 %, 10 MiB
151,0 %, 0 %, 145 MiB
152,0 %, 0 %, 241 MiB
153,0 %, 0 %, 241 MiB
154,0 %, 0 %, 241 MiB
155,0 %, 0 %, 241 MiB
156,0 %, 0 %, 241 MiB
157,0 %, 0 %, 241 MiB
158,0 %, 0 %, 241 MiB
159,19 %, 1 %, 1267 MiB
160,0 %, 0 %, 1267 MiB
161,0 %, 0 %, 1267 MiB
162,0 %, 0 %, 1267 MiB
163,0 %, 0 %, 1267 MiB
164,0 %, 0 %, 1267 MiB
165,0 %, 0 %, 1267 MiB
166,16 %, 14 %, 4375 MiB
167,0 %, 0 %, 4375 MiB
168,0 %, 0 %, 4375 MiB
169,0 %, 0 %, 4375 MiB
170,0 %, 0 %, 4375 MiB
171,0 %, 0 %, 4375 MiB
172,86 %, 39 %, 4375 MiB
173,84 %, 38 %, 4375 MiB
174,85 %, 38 %, 4375 MiB
175,83 %, 48 %, 4375 MiB
176,80 %, 44 %, 4375 MiB
177,84 %, 44 %, 4375 MiB
178,0 %, 0 %, 4375 MiB
179,0 %, 0 %, 4375 MiB
180,0 %, 0 %, 4375 MiB
181,0 %, 0 %, 4375 MiB
182,0 %, 0 %, 4375 MiB
183,0 %, 0 %, 4375 MiB
184,0 %, 0 %, 4375 MiB
185,0 %, 0 %, 4375 MiB
186,0 %, 0 %, 4375 MiB
187,0 %, 0 %, 4375 MiB
188,0 %, 0 %, 4375 MiB
189,0 %, 0 %, 4375 MiB
190,72 %, 40 %, 4375 MiB
191,86 %, 46 %, 4375 MiB
192,86 %, 43 %, 4375 MiB
193,86 %, 42 %, 4375 MiB
194,79 %, 47 %, 4375 MiB
195,80 %, 48 %, 4375 MiB
196,82 %, 39 %, 4375 MiB
197,83 %, 41 %, 4375 MiB
198,84 %, 48 %, 4375 MiB
199,82 %, 46 %, 4375 MiB
200,82 %, 43 %, 4375 MiB
201,81 %, 47 %, 4375 MiB
202,80 %, 47 %, 4375 MiB
203,81 %, 43 %, 4375 MiB
204,82 %, 38 %, 4375 MiB
205,86 %, 42 %, 4375 MiB
206,81 %, 48 %, 4375 MiB
207,78 %, 40 %, 4375 MiB
208,77 %, 46 %, 4375 MiB
209,80 %, 47 %, 4375 MiB
210,84 %, 46 %, 4375 MiB
211,85 %, 38 %, 4375 MiB
212,91 %, 45 %, 4375 MiB
213,83 %, 49 %, 4375 MiB
214,0 %, 0 %, 4375 MiB
215,0 %, 0 %, 4375 MiB
216,0 %, 0 %, 10 MiB
217,0 %, 0 %, 10 MiB
218,0 %, 0 %, 10 MiB
219,0 %, 0 %, 10 MiB
220,0 %, 0 %, 10 MiB
221,0 %, 0 %, 10 MiB
222,0 %, 0 %, 10 MiB
223,0 %, 0 %, 10 MiB
224,0 %, 0 %, 10 MiB
225,0 %, 0 %, 10 MiB
226,0 %, 0 %, 10 MiB
227,0 %, 0 %, 10 MiB
228,0 %, 0 %, 10 MiB
229,0 %, 0 %, 10 MiB
230,0 %, 0 %, 10 MiB
231,0 %, 0 %, 10 MiB
232,0 %, 0 %, 10 MiB
233,0 %, 0 %, 10 MiB
234,0 %, 0 %, 10 MiB
235,0 %, 0 %, 10 MiB
236,0 %, 0 %, 10 MiB
237,0 %, 0 %, 10 MiB
238,0 %, 0 %, 10 MiB
239,0 %, 0 %, 10 MiB
240,0 %, 0 %, 10 MiB
241,0 %, 0 %, 10 MiB
242,0 %, 0 %, 10 MiB
243,0 %, 0 %, 10 MiB
244,0 %, 0 %, 10 MiB
245,0 %, 0 %, 10 MiB
246,0 %, 0 %, 10 MiB
247,0 %, 0 %, 10 MiB
248,0 %, 0 %, 10 MiB
249,0 %, 0 %, 10 MiB
250,0 %, 0 %, 10 MiB
251,0 %, 0 %, 10 MiB
252,0 %, 0 %, 10 MiB
253,0 %, 0 %, 10 MiB
254,0 %, 0 %, 10 MiB
255,0 %, 0 %, 10 MiB
256,0 %, 0 %, 10 MiB
257,0 %, 0 %, 10 MiB
258,0 %, 0 %, 10 MiB
259,0 %, 0 %, 10 MiB
260,0 %, 0 %, 10 MiB
261,0 %, 0 %, 10 MiB
262,0 %, 0 %, 10 MiB
263,0 %, 0 %, 10 MiB
264,0 %, 0 %, 10 MiB
265,0 %, 0 %, 10 MiB
266,0 %, 0 %, 10 MiB
267,0 %, 0 %, 10 MiB
268,0 %, 0 %, 10 MiB
269,0 %, 0 %, 10 MiB
270,0 %, 0 %, 10 MiB
271,0 %, 0 %, 10 MiB
272,0 %, 0 %, 10 MiB
273,0 %, 0 %, 10 MiB
274,0 %, 0 %, 10 MiB
275,0 %, 0 %, 10 MiB
276,0 %, 0 %, 10 MiB
277,0 %, 0 %, 10 MiB
278,0 %, 0 %, 10 MiB
279,0 %, 0 %, 10 MiB
280,0 %, 0 %, 10 MiB
281,0 %, 0 %, 10 MiB
282,0 %, 0 %, 10 MiB
283,0 %, 0 %, 10 MiB
284,0 %, 0 %, 10 MiB
285,0 %, 0 %, 10 MiB
286,0 %, 0 %, 10 MiB
287,0 %, 0 %, 10 MiB
288,0 %, 0 %, 10 MiB
289,0 %, 0 %, 10 MiB
290,0 %, 0 %, 10 MiB
291,0 %, 0 %, 10 MiB
292,0 %, 0 %, 10 MiB
293,0 %, 0 %, 10 MiB
294,0 %, 0 %, 10 MiB
295,0 %, 0 %, 10 MiB
296,0 %, 0 %, 10 MiB
297,0 %, 0 %, 10 MiB
298,0 %, 0 %, 10 MiB
299,0 %, 0 %, 10 MiB
300,0 %, 0 %, 10 MiB
301,0 %, 0 %, 10 MiB
302,0 %, 0 %, 10 MiB
303,0 %, 0 %, 10 MiB
304,0 %, 0 %, 10 MiB
305,0 %, 0 %, 10 MiB
306,0 %, 0 %, 10 MiB
307,0 %, 0 %, 10 MiB
308,0 %, 0 %, 10 MiB
309,0 %, 0 %, 10 MiB
310,0 %, 0 %, 10 MiB
311,0 %, 0 %, 10 MiB
312,0 %, 0 %, 10 MiB
313,0 %, 0 %, 10 MiB
314,0 %, 0 %, 10 MiB
315,0 %, 0 %, 10 MiB
316,0 %, 0 %, 10 MiB
317,0 %, 0 %, 10 MiB
318,0 %, 0 %, 10 MiB
319,0 %, 0 %, 10 MiB
320,0 %, 0 %, 10 MiB
321,0 %, 0 %, 10 MiB
322,0 %, 0 %, 10 MiB
323,0 %, 0 %, 10 MiB
324,0 %, 0 %, 10 MiB
325,0 %, 0 %, 10 MiB
326,0 %, 0 %, 10 MiB
327,0 %, 0 %, 10 MiB
328,0 %, 0 %, 10 MiB
329,0 %, 0 %, 10 MiB
330,0 %, 0 %, 10 MiB
331,0 %, 0 %, 10 MiB
332,0 %, 0 %, 10 MiB
333,0 %, 0 %, 10 MiB
334,0 %, 0 %, 10 MiB
335,0 %, 0 %, 10 MiB
336,0 %, 0 %, 10 MiB
337,0 %, 0 %, 10 MiB
338,0 %, 0 %, 10 MiB
339,0 %, 0 %, 10 MiB
340,0 %, 0 %, 10 MiB
341,0 %, 0 %, 10 MiB
342,0 %, 0 %, 10 MiB
343,0 %, 0 %, 10 MiB
344,0 %, 0 %, 10 MiB
345,0 %, 0 %, 10 MiB
346,0 %, 0 %, 10 MiB
347,0 %, 0 %, 10 MiB
348,0 %, 0 %, 10 MiB
349,0 %, 0 %, 10 MiB
350,0 %, 0 %, 10 MiB
351,0 %, 0 %, 10 MiB
352,0 %, 0 %, 10 MiB
353,0 %, 0 %, 10 MiB
354,0 %, 0 %, 10 MiB
355,0 %, 0 %, 10 MiB
356,0 %, 0 %, 10 MiB
357,0 %, 0 %, 10 MiB
358,0 %, 0 %, 10 MiB
359,0 %, 0 %, 10 MiB
360,0 %, 0 %, 10 MiB
361,0 %, 0 %, 10 MiB
362,0 %, 0 %, 10 MiB
363,0 %, 0 %, 10 MiB
364,0 %, 0 %, 10 MiB
365,0 %, 0 %, 10 MiB
366,0 %, 0 %, 10 MiB
367,0 %, 0 %, 10 MiB
368,0 %, 0 %, 10 MiB
369,0 %, 0 %, 10 MiB
370,0 %, 0 %, 10 MiB
371,0 %, 0 %, 10 MiB
372,0 %, 0 %, 10 MiB
373,0 %, 0 %, 10 MiB
374,0 %, 0 %, 10 MiB
375,0 %, 0 %, 10 MiB
376,0 %, 0 %, 10 MiB
377,0 %, 0 %, 10 MiB
378,0 %, 0 %, 10 MiB
379,0 %, 0 %, 10 MiB
380,0 %, 0 %, 10 MiB
381,0 %, 0 %, 10 MiB
382,0 %, 0 %, 10 MiB
383,0 %, 0 %, 10 MiB
384,0 %, 0 %, 10 MiB
385,0 %, 0 %, 10 MiB
386,0 %, 0 %, 10 MiB
387,0 %, 0 %, 10 MiB
388,0 %, 0 %, 10 MiB
389,0 %, 0 %, 10 MiB
390,0 %, 0 %, 10 MiB
391,0 %, 0 %, 10 MiB
392,0 %, 0 %, 10 MiB
393,0 %, 0 %, 10 MiB
394,0 %, 0 %, 10 MiB
395,0 %, 0 %, 10 MiB
396,0 %, 0 %, 10 MiB
397,0 %, 0 %, 10 MiB
398,0 %, 0 %, 10 MiB
399,0 %, 0 %, 10 MiB
400,0 %, 0 %, 10 MiB
401,0 %, 0 %, 10 MiB
402,0 %, 0 %, 10 MiB
403,0 %, 0 %, 10 MiB
404,0 %, 0 %, 10 MiB
405,0 %, 0 %, 10 MiB
